pseudo,roles,password,nom,prenom,telephone,email,is_admin,is_actif,campus
lNoHBAFLo,"[""ROLE_ADMIN""]",vXeFzwcJiq,Brodench,Moyna,33764968,.@campus-eni.com,0,1,22
bILjtEIKag,"[""ROLE_ADMIN""]",QhltIExn,Alabaster,Arabel,46877966,.@campus-eni.com,1,1,26
vMEnpq,"[""ROLE_PARTICIPANT""]",LfyVmjv,Wittie,Kore,32024423,.@campus-eni.com,1,1,47
WEV,"[""ROLE_PARTICIPANT""]",zKCtgqs,Ailyn,Elvira,38568225,.@campus-eni.com,1,0,72
DLzxabNr,"[""ROLE_PARTICIPANT""]",dUuBNA,Chesna,Hope,36665491,.@campus-eni.com,1,1,100
bHvYkWz,"[""ROLE_ADMIN""]"," xgTtxPMMJ",Felecia,Tori,7131323,.@campus-eni.com,0,0,92
Nkpg,"[""ROLE_PARTICIPANT""]",rcGrryJh,Garek,Maryellen,50130814,.@campus-eni.com,1,0,14
Ydib,"[""ROLE_PARTICIPANT""]",MDcThUO,Thilda,Korrie,84016796,.@campus-eni.com,0,0,92
QjDAJuhfZ,"[""ROLE_PARTICIPANT""]",dOjXsnJZ,Kaja,Gwyneth,28333705,.@campus-eni.com,1,0,18
WD gpZ,"[""ROLE_PARTICIPANT""]",HoLBPPpwJ,Lunsford,Arlina,92621702,.@campus-eni.com,1,1,89
thVPFAKxR,"[""ROLE_ADMIN""]",EhLMwp,Bach,Meriel,57320729,.@campus-eni.com,0,1,24
Uvx,"[""ROLE_ADMIN""]",SErhkGv,Sallyann,Nyssa,5890215,.@campus-eni.com,1,1,15
lfPEmguS,"[""ROLE_PARTICIPANT""]",DzAdurfNn,Skurnik,Catharine,63669769,.@campus-eni.com,0,0,29
kQM,"[""ROLE_PARTICIPANT""]",dCSUFwIp,Ioab,Gerrie,50724824,.@campus-eni.com,1,0,19
xxSb,"[""ROLE_ADMIN""]",HCaeMghcua,Hoenack,Elfreda,60856279,.@campus-eni.com,1,0,19
fgLwM,"[""ROLE_ADMIN""]",YGlcFDLY,Skell,Dolli,29479836,.@campus-eni.com,0,0,62
bPKBtXfB,"[""ROLE_ADMIN""]",KoXQIp,Olympium,Romona,221842,.@campus-eni.com,0,0,100
yEx,"[""ROLE_PARTICIPANT""]",JrRuIZT,Emmaline,Rosene,9026832,.@campus-eni.com,1,0,94
Kz,"[""ROLE_ADMIN""]",yIxsuHu,Remmer,Livvyy,41821220,.@campus-eni.com,1,1,81
eIzSHszQZ,"[""ROLE_PARTICIPANT""]",DECWns,Hourigan,Vita,51390363,.@campus-eni.com,0,1,8
bhEXul,"[""ROLE_ADMIN""]",ECwNLovmTI,Iiette,Tabbatha,20202395,.@campus-eni.com,1,1,46
uOzjOhcz,"[""ROLE_ADMIN""]",nlpedxIXZD,Bonucci,Tracey,43596286,.@campus-eni.com,1,1,40
JVqp,"[""ROLE_PARTICIPANT""]",ZHbMcqWx,Aldric,Hope,92624934,.@campus-eni.com,0,0,93
fl,"[""ROLE_ADMIN""]",VuYbeNrkA,Peg,Zia,72059024,.@campus-eni.com,1,1,36
dIpqGAIRI,"[""ROLE_ADMIN""]",UOOvkNkSCw,Luhe,Pierette,34493757,.@campus-eni.com,1,0,68
WXeWl,"[""ROLE_ADMIN""]",bec ayyPz,Zitvaa,Cam,60625974,.@campus-eni.com,1,0,96
MrpjPQxQf,"[""ROLE_PARTICIPANT""]",pqZhrzX,Haerr,Josephine,91248418,.@campus-eni.com,0,0,9
AzFGzBs,"[""ROLE_ADMIN""]",sXOajL,Koehler,Adelle,87506633,.@campus-eni.com,0,0,69
YH,"[""ROLE_PARTICIPANT""]",mHcnTKk,Cimbura,Caressa,99541080,.@campus-eni.com,0,0,77
jrFhXY,"[""ROLE_ADMIN""]",YkemWWQN,Trey,Maud,28159775,.@campus-eni.com,1,0,17
pXdEpQ,"[""ROLE_PARTICIPANT""]",OWeZptXv,Niccolo,Rori,9107154,.@campus-eni.com,0,0,66
nNghD,"[""ROLE_ADMIN""]",XcQvACa,Eldrid,Myriam,42811974,.@campus-eni.com,1,1,31
GeabNADeu,"[""ROLE_ADMIN""]",rSYQfHOebK,Lattie,Calla,93328992,.@campus-eni.com,1,1,58
fQY,"[""ROLE_PARTICIPANT""]",CQJGsjqFa,Federica,Janenna,16114332,.@campus-eni.com,1,1,14
Utp,"[""ROLE_ADMIN""]",KH WQRu,Gower,Louella,36492284,.@campus-eni.com,0,0,40
ZarRLaBNH,"[""ROLE_PARTICIPANT""]",lmcpf Ghy,Camden,Luci,19708511,.@campus-eni.com,1,0,20
idQjzs,"[""ROLE_PARTICIPANT""]",WwxW Eegk,Raseda,Almeta,11443161,.@campus-eni.com,1,0,71
"LaRPBFGlG ","[""ROLE_ADMIN""]",AAsQzrZp,Lumbard,Jillayne,17547927,.@campus-eni.com,1,0,96
e mV z,"[""ROLE_PARTICIPANT""]",QxY oZldu,Schenck,Louella,50003695,.@campus-eni.com,1,1,71
plqSvsw,"[""ROLE_PARTICIPANT""]",cUoWdatbYo,Chrystel,Genovera,99727210,.@campus-eni.com,0,0,49
" KJ","[""ROLE_ADMIN""]",zgjKhtMqlb,Means,Valera,91646466,.@campus-eni.com,1,1,43
dnGwKjeKQ,"[""ROLE_PARTICIPANT""]",Cmvez Lz,Sancho,Donnie,29801522,.@campus-eni.com,1,1,30
GwnU,"[""ROLE_PARTICIPANT""]",tUrmJu,Newell,Kirbee,28816765,.@campus-eni.com,0,1,80
ztjWgSP,"[""ROLE_PARTICIPANT""]"," lW rvVl",Greyson,Delilah,68516738,.@campus-eni.com,0,1,21
zExzhfAKe,"[""ROLE_PARTICIPANT""]",jalseNuJ,Corilla,Stacey,22348773,.@campus-eni.com,1,0,68
CVnbLn,"[""ROLE_ADMIN""]",fxhYuIO,Matthew,Doralynne,35006006,.@campus-eni.com,0,1,93
kzvMOwpejg,"[""ROLE_ADMIN""]",qVETcLm,Carleen,Gabi,16041177,.@campus-eni.com,0,0,43
ZSnq,"[""ROLE_PARTICIPANT""]",pWVyCp,Saree,Audrie,24417329,.@campus-eni.com,1,0,56
SC,"[""ROLE_PARTICIPANT""]",QSqRJcqHQX,Vale,Daphne,39076303,.@campus-eni.com,0,0,80
vch,"[""ROLE_ADMIN""]",pTALufw,Paine,Ellette,3280019,.@campus-eni.com,0,0,30
Lwpw,"[""ROLE_PARTICIPANT""]"," BjlHvLBCS",Arvo,Annora,48741536,.@campus-eni.com,1,1,92
JEfuzZ,"[""ROLE_PARTICIPANT""]",Sfcmrh,Justinn,Sonni,50813414,.@campus-eni.com,1,1,20
IkiPpvAxjf,"[""ROLE_ADMIN""]",eMKoGPQqmS,Gale,Camile,56661498,.@campus-eni.com,1,0,94
HuJkGIyy,"[""ROLE_PARTICIPANT""]",QAunQmP,Robertson,Demetris,70765034,.@campus-eni.com,1,0,6
KytGzUos,"[""ROLE_ADMIN""]",RigHguvK,Warthman,Dominga,38956641,.@campus-eni.com,0,0,31
LxId,"[""ROLE_ADMIN""]",nrkOviJee,Stevy,Donnie,90016490,.@campus-eni.com,0,1,59
VpyWrbACjp,"[""ROLE_PARTICIPANT""]",jiyDrYPpyJ,Cecile,Genevra,34078946,.@campus-eni.com,0,1,34
LeESzQXy,"[""ROLE_ADMIN""]",JexQXGXk,Zetta,Netty,23532606,.@campus-eni.com,1,1,86
D c,"[""ROLE_ADMIN""]",UsZtpJnuZq,Old,Catrina,35183618,.@campus-eni.com,0,1,99
iCRDdJWehA,"[""ROLE_PARTICIPANT""]",KROULEeXSU,Campball,Yetty,81766488,.@campus-eni.com,1,1,52
JLSSkcQUaH,"[""ROLE_ADMIN""]",cbExxTZ,Roumell,Sam,74211534,.@campus-eni.com,1,0,24
XojTCAnz,"[""ROLE_ADMIN""]",ophUNC,Randene,Talya,34929520,.@campus-eni.com,0,1,66
rhUG,"[""ROLE_PARTICIPANT""]",VmXvJtWb,Stevy,Charmaine,45593198,.@campus-eni.com,1,1,29
Fz,"[""ROLE_ADMIN""]",FCjxDZOQM,Reneta,Olivette,82747899,.@campus-eni.com,1,0,21
pIShLQ,"[""ROLE_PARTICIPANT""]",oGxuJyD,Mallon,Clementine,3082355,.@campus-eni.com,0,1,62
TKswbdoZC,"[""ROLE_PARTICIPANT""]",RcYNwudTU,Iiette,Lorenza,94937827,.@campus-eni.com,1,1,96
ZyGnquKraI,"[""ROLE_PARTICIPANT""]",zMsHcpl,Primalia,Bettine,69661523,.@campus-eni.com,0,0,76
Fozd,"[""ROLE_PARTICIPANT""]",vTfIXUMuBg,Heidt,Arlina,25807611,.@campus-eni.com,0,0,89
EL,"[""ROLE_PARTICIPANT""]",mUuC ref,Lanita,Jan,33044180,.@campus-eni.com,0,1,97
cSE,"[""ROLE_PARTICIPANT""]",HgPAyGxUbd,Emerson,Corene,32929816,.@campus-eni.com,0,1,93
lD,"[""ROLE_PARTICIPANT""]",GdLrINmTmi,Bashemeth,Modestia,50835028,.@campus-eni.com,0,1,6
qzvNYwYYAe,"[""ROLE_ADMIN""]",nlfcEUJXkK,Liva,Jolyn,80450832,.@campus-eni.com,0,1,96
SE,"[""ROLE_PARTICIPANT""]",LvBShJy,Kronfeld,Elmira,7759116,.@campus-eni.com,1,0,8
Yt,"[""ROLE_ADMIN""]",laRskTN,Damarra,Fawne,8453828,.@campus-eni.com,1,1,93
TaFK,"[""ROLE_ADMIN""]",DhmpLFBFf,Orelee,Kalina,92539142,.@campus-eni.com,1,1,66
xNkNKYMWUu,"[""ROLE_ADMIN""]",eEHBIoG,Gilbertson,Kara-Lynn,53067880,.@campus-eni.com,1,1,27
BGTDY,"[""ROLE_ADMIN""]",txVHtquC,Urias,Gilda,16649997,.@campus-eni.com,0,0,96
MiqXeJuI,"[""ROLE_PARTICIPANT""]",qDkcQxE,Bettine,Lolita,9369834,.@campus-eni.com,1,1,41
fJUzzNweL,"[""ROLE_ADMIN""]",xNdwRERYl,Si,Jillayne,92944698,.@campus-eni.com,1,1,30
"oBaV ","[""ROLE_ADMIN""]",DRyoofxPC,Keily,Sashenka,35470415,.@campus-eni.com,1,0,29
maBd,"[""ROLE_PARTICIPANT""]",tBVdBHy,Pandolfi,Yolane,93353113,.@campus-eni.com,0,1,91
omiGfc,"[""ROLE_ADMIN""]",prweWp,Chrystel,Rosanne,7566928,.@campus-eni.com,1,1,72
tRMfmy,"[""ROLE_ADMIN""]",bzvSJQ,Modie,Glynnis,50190477,.@campus-eni.com,1,1,95
zG,"[""ROLE_PARTICIPANT""]",lCJbEehSv,Knowling,Cassondra,41002844,.@campus-eni.com,0,0,11
fbvFy,"[""ROLE_ADMIN""]",rHmtDgxk,Justinn,Ulrike,41754316,.@campus-eni.com,0,0,86
yY,"[""ROLE_ADMIN""]",ljXS BDey,Idelia,Drucie,23957229,.@campus-eni.com,0,1,98
ajlWioOu,"[""ROLE_PARTICIPANT""]",IXMvMG,Clywd,Taffy,81163109,.@campus-eni.com,0,1,28
RDTWwz,"[""ROLE_ADMIN""]",TvAkOzZVx,Belldas,Elvira,3627555,.@campus-eni.com,0,0,39
WUaRLz,"[""ROLE_PARTICIPANT""]",eZQrZdTTAZ,Carey,Kathy,22913809,.@campus-eni.com,0,0,83
MtATZnhVBf,"[""ROLE_PARTICIPANT""]",rMSWCmVid,Corilla,Merle,65839126,.@campus-eni.com,0,1,76
